timestamp;formatted_timestamp;meter_reading;consumption
03.04.2024 06:30:48;2024-04-03 06:30:48;1198878;11
03.04.2024 06:45:49;2024-04-03 06:45:49;1198889;11
03.04.2024 07:00:48;2024-04-03 07:00:48;1198900;11
03.04.2024 07:12:12;2024-04-03 07:12:12;1198909;9
03.04.2024 07:27:14;2024-04-03 07:27:14;1198922;13
03.04.2024 07:42:13;2024-04-03 07:42:13;1198937;15
03.04.2024 07:57:14;2024-04-03 07:57:14;1198950;13
03.04.2024 08:15:48;2024-04-03 08:15:48;1198968;18
03.04.2024 08:30:48;2024-04-03 08:30:48;1198980;12
03.04.2024 08:45:49;2024-04-03 08:45:49;1198993;13
03.04.2024 09:00:50;2024-04-03 09:00:50;1199005;12
03.04.2024 09:15:51;2024-04-03 09:15:51;1199020;15
03.04.2024 09:30:50;2024-04-03 09:30:50;1199035;14
03.04.2024 09:45:50;2024-04-03 09:45:50;1199047;12
03.04.2024 10:00:46;2024-04-03 10:00:46;1199059;12
03.04.2024 10:15:51;2024-04-03 10:15:51;1199073;14
03.04.2024 10:31:00;2024-04-03 10:31:00;1199086;13
03.04.2024 10:45:54;2024-04-03 10:45:54;1199096;10
03.04.2024 11:00:52;2024-04-03 11:00:52;1199107;11
03.04.2024 11:15:49;2024-04-03 11:15:49;1199119;12
03.04.2024 11:30:57;2024-04-03 11:30:57;1199127;8
03.04.2024 11:45:52;2024-04-03 11:45:52;1199137;10
03.04.2024 12:00:50;2024-04-03 12:00:50;1199146;9
03.04.2024 12:15:47;2024-04-03 12:15:47;1199153;7
03.04.2024 12:30:52;2024-04-03 12:30:52;1199162;9
03.04.2024 12:45:50;2024-04-03 12:45:50;1199171;9
03.04.2024 13:00:47;2024-04-03 13:00:47;1199181;11
03.04.2024 13:15:51;2024-04-03 13:15:51;1199192;11
03.04.2024 13:30:47;2024-04-03 13:30:47;1199206;14
03.04.2024 13:45:52;2024-04-03 13:45:52;1199221;15
03.04.2024 14:00:51;2024-04-03 14:00:51;1199235;14
03.04.2024 14:15:52;2024-04-03 14:15:52;1199249;14
03.04.2024 14:30:52;2024-04-03 14:30:52;1199263;13
03.04.2024 14:45:51;2024-04-03 14:45:51;1199275;13
03.04.2024 15:00:50;2024-04-03 15:00:50;1199290;15
03.04.2024 15:16:14;2024-04-03 15:16:14;1199303;13
03.04.2024 15:30:47;2024-04-03 15:30:47;1199317;13
03.04.2024 15:45:48;2024-04-03 15:45:48;1199331;14
03.04.2024 16:00:50;2024-04-03 16:00:50;1199345;14
03.04.2024 16:15:46;2024-04-03 16:15:46;1199359;14
03.04.2024 16:30:50;2024-04-03 16:30:50;1199373;14
03.04.2024 16:45:52;2024-04-03 16:45:52;1199387;14
03.04.2024 17:00:50;2024-04-03 17:00:50;1199402;15
03.04.2024 17:15:50;2024-04-03 17:15:50;1199417;15
03.04.2024 17:30:49;2024-04-03 17:30:49;1199432;15
03.04.2024 17:45:51;2024-04-03 17:45:51;1199446;15
03.04.2024 18:00:51;2024-04-03 18:00:51;1199461;15
03.04.2024 18:15:51;2024-04-03 18:15:51;1199474;13
03.04.2024 18:30:51;2024-04-03 18:30:51;1199486;12
03.04.2024 18:45:50;2024-04-03 18:45:50;1199496;10
03.04.2024 19:00:49;2024-04-03 19:00:49;1199507;11
03.04.2024 19:15:49;2024-04-03 19:15:49;1199518;11
03.04.2024 19:30:47;2024-04-03 19:30:47;1199530;12
03.04.2024 19:45:51;2024-04-03 19:45:51;1199541;11
03.04.2024 20:00:49;2024-04-03 20:00:49;1199552;11
03.04.2024 20:15:50;2024-04-03 20:15:50;1199563;11
03.04.2024 20:30:51;2024-04-03 20:30:51;1199574;11
03.04.2024 20:45:49;2024-04-03 20:45:49;1199585;11
03.04.2024 21:00:49;2024-04-03 21:00:49;1199596;11
03.04.2024 21:15:50;2024-04-03 21:15:50;1199607;11
03.04.2024 21:30:48;2024-04-03 21:30:48;1199618;10
03.04.2024 21:45:49;2024-04-03 21:45:49;1199628;10
03.04.2024 22:00:48;2024-04-03 22:00:48;1199639;11
03.04.2024 22:15:50;2024-04-03 22:15:50;1199648;9
03.04.2024 22:30:48;2024-04-03 22:30:48;1199653;5
03.04.2024 22:45:51;2024-04-03 22:45:51;1199658;5
03.04.2024 23:00:52;2024-04-03 23:00:52;1199663;5
03.04.2024 23:15:49;2024-04-03 23:15:49;1199668;5
03.04.2024 23:26:39;2024-04-03 23:26:39;1199672;4
03.04.2024 23:41:40;2024-04-03 23:41:40;1199676;5
03.04.2024 23:56:38;2024-04-03 23:56:38;1199681;5
04.04.2024 00:11:39;2024-04-04 00:11:39;1199686;5
04.04.2024 00:26:41;2024-04-04 00:26:41;1199690;5
04.04.2024 00:45:49;2024-04-04 00:45:49;1199696;6
04.04.2024 01:00:48;2024-04-04 01:00:48;1199701;5
04.04.2024 01:15:52;2024-04-04 01:15:52;1199705;5
04.04.2024 01:30:50;2024-04-04 01:30:50;1199710;4
04.04.2024 01:45:50;2024-04-04 01:45:50;1199714;5
04.04.2024 02:00:49;2024-04-04 02:00:49;1199719;4
04.04.2024 02:15:51;2024-04-04 02:15:51;1199723;5
04.04.2024 02:30:50;2024-04-04 02:30:50;1199728;5
04.04.2024 02:45:48;2024-04-04 02:45:48;1199733;5
04.04.2024 03:00:47;2024-04-04 03:00:47;1199738;5
04.04.2024 03:20:19;2024-04-04 03:20:19;1199742;5
04.04.2024 03:35:03;2024-04-04 03:35:03;1199747;5
04.04.2024 03:50:07;2024-04-04 03:50:07;1199752;5
04.04.2024 04:00:48;2024-04-04 04:00:48;1199755;3
04.04.2024 04:15:48;2024-04-04 04:15:48;1199760;4
04.04.2024 04:30:48;2024-04-04 04:30:48;1199765;5
04.04.2024 04:45:48;2024-04-04 04:45:48;1199769;5
04.04.2024 05:00:50;2024-04-04 05:00:50;1199774;5
04.04.2024 05:15:47;2024-04-04 05:15:47;1199782;8
04.04.2024 05:30:47;2024-04-04 05:30:47;1199789;7
04.04.2024 05:45:48;2024-04-04 05:45:48;1199796;7
04.04.2024 06:00:48;2024-04-04 06:00:48;1199807;11
04.04.2024 06:15:48;2024-04-04 06:15:48;1199817;10
04.04.2024 06:30:50;2024-04-04 06:30:50;1199826;9
04.04.2024 06:45:46;2024-04-04 06:45:46;1199835;9
04.04.2024 07:00:48;2024-04-04 07:00:48;1199845;10
04.04.2024 07:15:51;2024-04-04 07:15:51;1199859;14
04.04.2024 07:30:47;2024-04-04 07:30:47;1199874;15
